,Глубина манометра,Dшт,Рзаб (ср),Pлин (ср),Руст (кон),Рлин (кон),Туст,Тна шлейфе,Тзаб,Tлин,Дебит ст. конд. (ст),Дебит воды (ст),Дебит смеси (ст),Дебит газа (лин),Дебит кон нестабильный (лин),Дебит воды (лин),Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Рпл. Тек (Карноухов),Pсб,Ro_c,Удельная плотность газа ,G_total,КГФ
139,3424.5,12.7,236.5,104.28088105726873,163.13324999999998,104.34129032258065,47.8,,106.4,48.01590528634359,74.58585242290751,2.500872907488986,346.6401123819383,2869.0,126.4,2.6,44.2,37.21,50.2,50.7,103.9,785.0,0.648,,177.0
140,3424.5,14.3,221.2,104.42884344146684,149.961,104.62210526315792,50.6,,106.7,50.5755373765868,73.12181382228492,2.5502173483779966,362.5228747107194,3112.0,121.4,2.6,44.2,37.21,50.2,50.7,104.0,777.0,0.648,,164.0
141,3437.0,7.5,305.56,100.8,215.0,99.7,40.0,26.0,106.5,25.9,45.4,0.6,172.04072,1168.0,79.0,0.5,44.2,36.46,47.9,48.6,99.8,782.0,0.684,,219.0
142,3437.0,7.94,298.69,100.6,209.0,100.6,48.0,27.8,106.6,28.5,52.8,1.0,201.32084,1401.0,93.1,1.0,44.2,36.46,47.9,48.6,99.8,782.0,0.684,,218.0
143,3437.0,9.53,278.23,100.6,193.0,100.6,54.0,35.1,106.6,36.3,63.9,1.5,264.34592,1996.0,110.8,1.6,44.2,36.46,47.9,48.6,100.1,782.0,0.684,,200.0
144,3437.0,11.11,256.21,101.2,173.0,101.2,54.0,40.9,106.5,41.0,63.0,1.7,319.31010000000003,2545.0,115.5,1.9,44.2,36.46,47.9,48.6,100.1,782.0,0.684,,161.0
145,3437.0,12.7,234.19,101.3,154.0,101.6,56.0,45.6,106.4,46.2,69.0,0.9,359.31710000000004,3043.0,113.2,1.0,44.2,36.46,47.9,48.6,100.3,782.0,0.684,,157.0
146,3437.0,14.29,216.9,101.4,138.0,100.2,57.0,49.3,106.43,49.7,71.1,0.8,375.71837999999997,3320.0,116.8,0.8,44.2,36.46,47.9,48.6,100.7,782.0,0.684,,154.0
147,3440.0,7.94,174.0,92.0526897987506,163.0,90.945,44.0,25.6,102.55,25.94277793199168,33.93994240111031,0.23924449687716876,154.32325055462871,1187.0,60.9,0.2,44.2,29.17,56.1,,90.0,770.1,0.57,,180.0
148,3440.0,7.94,228.46,92.58793483709262,164.0,92.642,42.0,24.8,102.507,25.80761152882207,33.62976691729322,0.23698969924812027,154.2891972701504,1168.0,60.1,0.2,44.2,29.17,56.1,,90.4,770.1,0.57,,178.0
